Agriculture Year,Crop,Area,Area Unit,Area_Cent,Production,Production Unit,Productivity,Productivity Unit,Yield_kg_ha,Soil_Type,Soil_pH,Nitrogen_N_kg_ha,Phosphorus_P_kg_ha,Potassium_K_kg_ha,Rainfall_mm,Temperature_C,Humidity_percent,Irrigation_Level,Season,Suitability_Score_Derived
2022-23,Tapioca,55713,Hectare,13766960.87,2390395,MT,42905,Kg/ Hectare,42905,Loamy,6.147991959,65.3114281,30.15712421,65.73093627,1480.477279,26.02557374,63.26227932,Medium,Kharif,94.42
2022-23,Paddy,191712,Hectare,47372993.76,595860,MT,3108,Kg/ Hectare,3108,Clay,5.851404497,81.92035973,37.03989094,41.79520541,2169.645793,24.88274788,71.30859929,High,Kharif,76.82
2021-22,Turmeric,2203,Hectare,544372.315,7402,MT,3360,Kg/ Hectare,3360,Clay,5.4685052,57.98132459,35.75332871,54.7014067,1486.162271,23.90819202,75.62633345,Medium,Kharif,81.29
2021-22,Coffee,85880,Hectare,21221377.4,69900,MT,814,Kg/ Hectare,814,Sandy,6.169830244,67.40545056,33.29202548,71.89540183,2206.233804,24.86762031,86.96506737,Medium,Perennial,69.36
2023-24,Rubber,551030,Hectare,136162268.2,533500,MT,968,Kg/ Hectare,968,Sandy,5.239841308,51.58282073,29.19337365,64.01051744,2726.507564,27.25215121,72.39892189,Low,Perennial,66.12
2023-24,Plantain,56717,Hectare,14015054.29,411877,MT,7262,Kg/ Hectare,7262,Loamy,5.838493061,92.83836137,52.4397324,124.7001197,2072.356984,25.56041881,82.4243921,High,Perennial,87.23
2023-24,Betel leaves,221,Hectare,54610.205,7899,MT,35780,Kg/ Hectare,35780,Loamy,5.913959004,71.28134721,40.57707779,79.31495649,1511.353685,27.08640993,92.66640207,High,Perennial,88.48
2022-23,Cocoa,11657,Hectare,2880502.985,15220,MT,1306,Kg/ Hectare,1306,Clay,6.328788936,56.84748204,24.78998972,65.80958873,1599.269515,27.76297068,75.91135997,Medium,Perennial,75.04
2023-24,Cardamom,40345,Hectare,9969451.225,22869,MT,567,Kg/ Hectare,567,Clay,5.388980061,59.66194258,28.42211099,64.67489344,2708.993204,20.37749367,88.56565566,Medium,Perennial,65.9
2021-22,Plantain,51901,Hectare,12824996.61,410011,MT,7900,Kg/ Hectare,7900,Clay,5.803430882,107.0857247,55.53322703,139.1920038,2155.335605,26.84933712,75.71545894,High,Perennial,92.73
2022-23,Pappaya,16805,Hectare,4152599.525,100288,MT,5968,Kg/ Hectare,5968,Sandy,6.324027581,77.42063953,43.02638159,99.7202994,1449.442534,29.82485323,70.44269029,High,Perennial,81.55
2021-22,Plantain,51901,Hectare,12824996.61,410011,MT,7900,Kg/ Hectare,7900,Silty,6.107017366,105.0861779,50.65174403,123.0464493,2022.423769,27.02779553,84.32726472,High,Perennial,87.72
2023-24,Coconut,765842,Hectare,189243387.4,5523,Million Nuts,7211,Nuts/ Hectare,7211,Loamy,5.985578313,46.41862717,25.88631289,72.02363796,1676.107166,26.68077328,83.93018941,Medium,Perennial,82.4
2021-22,Mango,75840,Hectare,18740443.2,470040,MT,6198,Kg/ Hectare,6198,Loamy,7.109320884,54.06313807,25.36966823,38.79744002,703.5733421,27.28721353,70.76092004,Low,Perennial,82.94
2021-22,Paddy,195734,Hectare,48366850.07,562097,MT,2872,Kg/ Hectare,2872,Loamy,6.099255081,87.16313293,42.18584068,42.89443346,1710.502979,24.38560785,70.31356684,High,Kharif,73.41
2022-23,Cardamom,40345,Hectare,9969451.225,22165,MT,549,Kg/ Hectare,549,Loamy,5.099958362,66.75032094,32.97398109,61.04316727,2826.17458,19.90422747,91.7338441,Medium,Perennial,64.42
2022-23,Coconut,760354,Hectare,187887275.2,5641,Million Nuts,7419,Nuts/ Hectare,7419,Loamy,5.82398665,59.79163136,23.5696938,85.43943394,1739.788176,29.58755978,79.64061957,Medium,Perennial,86.32
2021-22,Cocoa,12527,Hectare,3095484.335,14486,MT,1156,Kg/ Hectare,1156,Loamy,6.436725132,51.24607961,28.55630074,81.13307715,1611.696032,22.96017979,81.18870982,Medium,Perennial,71.59
2021-22,Coffee,85880,Hectare,21221377.4,69900,MT,814,Kg/ Hectare,814,Loamy,5.463060234,78.75717498,25.96201482,82.36253691,2258.455038,22.44675569,70.88999966,Medium,Perennial,66.32
2022-23,Jack,89333,Hectare,22074630.97,264,Million Nuts,2953,Nuts/ Hectare,2953,Loamy,6.212782391,42.1978519,26.03321533,68.19737762,2469.656288,27.25380005,84.3911723,Low,Perennial,72.21
2021-22,Banana,49020,Hectare,12113087.1,461244,MT,9409,Kg/ Hectare,9409,Silty,6.435904341,99.70742672,52.51730453,117.1975561,1627.973262,26.57257838,80.62210578,High,Perennial,84.83
2023-24,Ginger,2241,Hectare,553762.305,44390,MT,4358,Kg/ Hectare,4358,Clay,5.903816718,58.63895553,38.08604895,57.06342179,1893.953644,25.00142084,75.94336371,Medium,Kharif,81.26
2022-23,Jack,89333,Hectare,22074630.97,264,Million Nuts,2953,Nuts/ Hectare,2953,Sandy,6.136361339,51.13059803,23.83201104,58.40819218,1627.367776,28.75121185,83.42420162,Low,Perennial,77.21
2022-23,Cloves,707,Hectare,174703.235,54,MT,76,Kg/ Hectare,76,Clay,5.907148519,57.34496908,29.98942321,66.25692202,2550.325083,23.80770132,95.4431067,Medium,Perennial,49.45
2022-23,Banana,47803,Hectare,11812360.32,468065,MT,9792,Kg/ Hectare,9792,Silty,6.006942554,107.2352885,38.59079289,135.6192515,1655.142341,25.22078054,76.77197489,High,Perennial,96.38
2023-24,Nutmeg,24629,Hectare,6085949.045,18025,MT,732,Kg/ Hectare,732,Loamy,5.968380239,66.88924368,32.42131693,56.97906347,1904.112391,25.56724675,76.44073486,Medium,Perennial,61.55
2022-23,Cocoa,11657,Hectare,2880502.985,15220,MT,1306,Kg/ Hectare,1306,Clay,6.308160061,58.93203431,31.32186504,67.16321001,1849.322039,27.39781793,81.607662,Medium,Perennial,72.78
2021-22,Arecanut,93968,Hectare,23219962.64,103476,MT,1101,Kg/ Hectare,1101,Silty,5.983134119,72.23220105,29.92392298,60.16936948,2280.209959,26.17694365,83.22921427,Medium,Perennial,68.9
2022-23,Pepper,73732,Hectare,18219545.86,27654,MT,375,Kg/ Hectare,375,Clay,5.954716349,61.12038246,40.27989085,40.78698963,2271.848537,25.16828643,80.38658242,Medium,Perennial,58.27
2023-24,Cashew,31690,Hectare,7830757.45,12780,MT,403,Kg/ Hectare,403,Loamy,5.95677124,47.08276186,31.01785912,38.78802296,1478.895394,24.87450664,62.99736182,Low,Perennial,54.95
2022-23,Cashew,32685,Hectare,8076626.925,13052,MT,399,Kg/ Hectare,399,Loamy,5.792662762,52.39744397,26.77604872,43.72453393,1231.300039,27.70660235,73.68024066,Low,Perennial,49.67
2022-23,Banana,47803,Hectare,11812360.32,468065,MT,9792,Kg/ Hectare,9792,Clay,6.095237764,98.72545018,51.7149375,122.9377175,1575.155091,24.92253104,83.59044677,High,Perennial,94.44
2022-23,Arecanut,94553,Hectare,23364519.07,98527,MT,1042,Kg/ Hectare,1042,Loamy,6.872912791,75.58585033,30.82195973,64.87234644,2941.732223,23.63823738,62.94584302,Medium,Perennial,69.39
2023-24,Arecanut,96113,Hectare,23750002.87,103985,MT,1082,Kg/ Hectare,1082,Clay,6.446693503,61.49054709,25.05268315,50.77776796,2119.633238,25.81904173,78.07427064,Medium,Perennial,67.15
2022-23,Cloves,707,Hectare,174703.235,54,MT,76,Kg/ Hectare,76,Clay,6.287969751,48.44621885,26.55532115,56.6505881,1959.241673,21.59242172,78.41558033,Medium,Perennial,56.36
2023-24,Pappaya,18599,Hectare,4595905.895,123868,MT,6560,Kg/ Hectare,6560,Silty,5.894165458,73.89121874,44.2342578,83.61062312,1551.725367,29.16254589,82.70766139,High,Perennial,85.5
2023-24,Pineapple,12538,Hectare,3098202.49,118958,MT,9488,Kg/ Hectare,9488,Clay,5.629332191,63.96394511,38.14025703,86.23966001,1576.935135,26.4356942,72.04680319,Medium,Kharif,89.51
2021-22,Tapioca,55664,Hectare,13754852.72,2506352,MT,45026,Kg/ Hectare,45026,Loamy,5.63648497,53.79865354,27.96286928,58.89389026,1464.142268,24.30197781,79.42225938,Medium,Kharif,96.5
2023-24,Banana,47542,Hectare,11747865.91,477521,MT,10044,Kg/ Hectare,10044,Clay,5.89212174,99.27939835,45.50084199,119.9600626,1819.486284,27.82565899,64.5961038,High,Perennial,92.44
2021-22,Tea,35872,Hectare,8864150.56,60360,MT,1683,Kg/ Hectare,1683,Silty,5.309990613,82.96512718,30.38222536,61.64211996,1995.910506,25.1731403,81.93100742,Medium,Perennial,75.8
2023-24,Turmeric,2046,Hectare,505576.83,36146,MT,3004,Kg/ Hectare,3004,Clay,6.15552491,62.33223545,33.67530505,53.18516644,1616.90026,26.71689174,73.53327675,Medium,Kharif,78.38
2023-24,Ginger,2241,Hectare,553762.305,44390,MT,4358,Kg/ Hectare,4358,Sandy,5.916672858,72.42054345,38.79113446,64.6786775,2006.12041,23.88987074,74.33946951,Medium,Kharif,69.09
2022-23,Banana,47803,Hectare,11812360.32,468065,MT,9792,Kg/ Hectare,9792,Clay,6.021982607,112.0394492,47.45929845,109.976032,2527.514904,27.75916912,77.64604749,High,Perennial,84.34
2022-23,Pineapple,11130,Hectare,2750278.65,111997,MT,10063,Kg/ Hectare,10063,Clay,5.521028915,68.94797785,38.37074606,87.82376547,1585.464819,24.04343909,79.97049488,Medium,Kharif,88.25
2022-23,Arecanut,94553,Hectare,23364519.07,98527,MT,1042,Kg/ Hectare,1042,Silty,6.453931956,62.24554386,32.32031822,58.98069732,2731.853775,26.14467768,82.07778607,Medium,Perennial,65.83
2023-24,Banana,47542,Hectare,11747865.91,477521,MT,10044,Kg/ Hectare,10044,Loamy,6.35144737,108.87222,53.26465726,121.8661779,2113.367641,24.88149284,78.59525668,High,Perennial,89.89
2023-24,Coffee,85957,Hectare,21240404.49,70354,MT,818,Kg/ Hectare,818,Silty,5.567911122,77.61595637,29.70858049,87.16680901,2321.74205,23.15538237,85.90699391,Medium,Perennial,65.02
2023-24,Tapioca,55869,Hectare,13805509.25,2365765,MT,42345,Kg/ Hectare,42345,Sandy,5.605466874,63.91757548,30.08893727,64.6949203,1456.013035,25.15053339,83.62101576,Medium,Kharif,92.74
2021-22,Pineapple,11508,Hectare,2843684.34,106654,MT,9268,Kg/ Hectare,9268,Loamy,5.843969729,78.06332407,32.14201574,81.61659798,2460.354046,23.36174268,79.41786055,Medium,Kharif,93.83
2022-23,Jack,89333,Hectare,22074630.97,264,Million Nuts,2953,Nuts/ Hectare,2953,Loamy,6.141384297,44.43181422,22.658098,64.50294678,2273.868009,29.23091936,91.58338754,Low,Perennial,71.04
2021-22,Paddy,195734,Hectare,48366850.07,562097,MT,2872,Kg/ Hectare,2872,Sandy,6.274882837,86.38911409,41.60936849,40.8660992,1816.024307,26.71209257,76.11983921,High,Kharif,70.84
2022-23,Coconut,760354,Hectare,187887275.2,5641,Million Nuts,7419,Nuts/ Hectare,7419,Clay,6.042727183,40.85394486,25.80691456,84.07042046,1952.73781,28.20202744,82.43115478,Medium,Perennial,94.73
2021-22,Cloves,715,Hectare,176680.075,53,MT,74,Kg/ Hectare,74,Loamy,5.939787364,43.29791457,25.49968984,64.98768062,2380.355098,24.96799204,82.33979146,Medium,Perennial,59.5
2022-23,Pappaya,16805,Hectare,4152599.525,100288,MT,5968,Kg/ Hectare,5968,Loamy,5.58983312,83.86080722,40.10480567,88.23165056,1071.464886,28.38864239,73.75110651,High,Perennial,81.87
2021-22,Arecanut,93968,Hectare,23219962.64,103476,MT,1101,Kg/ Hectare,1101,Clay,6.25224423,66.29460691,30.32992872,53.60076633,2918.099927,29.38011538,75.57688485,Medium,Perennial,70.79
2021-22,Arecanut,93968,Hectare,23219962.64,103476,MT,1101,Kg/ Hectare,1101,Silty,6.646807451,67.86022247,31.3345403,57.03855002,2128.985791,27.38307616,77.02974805,Medium,Perennial,69.03
2021-22,Betel leaves,243,Hectare,60046.515,8653,MT,35609,Kg/ Hectare,35609,Loamy,5.873377336,62.58033484,33.52906947,68.78629389,2077.160869,24.09138525,94.32250302,High,Perennial,96.29
2022-23,Betel leaves,207,Hectare,51150.735,7051,MT,34049,Kg/ Hectare,34049,Loamy,6.230789466,72.7699619,38.85738277,75.47253855,1851.80058,27.5452375,88.22433514,High,Perennial,85.34
2021-22,Arecanut,93968,Hectare,23219962.64,103476,MT,1101,Kg/ Hectare,1101,Sandy,6.457170538,67.86672176,34.08371265,54.60706394,2426.871006,26.22820161,74.41635774,Medium,Perennial,71.42
2023-24,Pappaya,18599,Hectare,4595905.895,123868,MT,6560,Kg/ Hectare,6560,Clay,5.687255575,88.03688694,39.51741495,79.59299845,1476.960956,27.80958727,85.97584741,High,Perennial,84.18
